coding	meaning
1	A1BG;Alpha-1B-glycoprotein
2	AAMDC;Mth938 domain-containing protein
3	AARSD1;Alanyl-tRNA editing protein Aarsd1
4	ABCA2;ATP-binding cassette sub-family A member 2
5	ABHD14B;Protein ABHD14B
6	ABL1;Tyrosine-protein kinase ABL1
7	ABO;Histo-blood group ABO system transferase
8	ABRAXAS2;BRISC complex subunit Abraxas 2
9	ACAA1;3-ketoacyl-CoA thiolase, peroxisomal
10	ACADM;Medium-chain specific acyl-CoA dehydrogenase, mitochondrial
11	ACADSB;Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial
12	ACAN;Aggrecan core protein
13	ACE;Angiotensin-converting enzyme
14	ACE2;Angiotensin-converting enzyme 2
15	ACHE;Acetylcholinesterase
16	ACOT13;Acyl-coenzyme A thioesterase 13
17	ACOX1;Peroxisomal acyl-coenzyme A oxidase 1
18	ACP1;Low molecular weight phosphotyrosine protein phosphatase
19	ACP5;Tartrate-resistant acid phosphatase type 5
20	ACP6;Lysophosphatidic acid phosphatase type 6
21	ACRBP;Acrosin-binding protein
22	ACRV1;Acrosomal protein SP-10
23	ACSL1;Long-chain-fatty-acid--CoA ligase 1
24	ACTA2;Actin, aortic smooth muscle
25	ACTN2;Alpha-actinin-2
26	ACTN4;Alpha-actinin-4
27	ACVRL1;Serine/threonine-protein kinase receptor R3
28	ACY1;Aminoacylase-1
29	ACY3;N-acyl-aromatic-L-amino acid amidohydrolase
30	ACYP1;Acylphosphatase-1
31	ADA;Adenosine deaminase
32	ADA2;Adenosine deaminase 2
33	ADAM12;Disintegrin and metalloproteinase domain-containing protein 12
34	ADAM15;Disintegrin and metalloproteinase domain-containing protein 15
35	ADAM22;Disintegrin and metalloproteinase domain-containing protein 22
36	ADAM23;Disintegrin and metalloproteinase domain-containing protein 23
37	ADAM8;Disintegrin and metalloproteinase domain-containing protein 8
38	ADAM9;Disintegrin and metalloproteinase domain-containing protein 9
39	ADAMTS1;A disintegrin and metalloproteinase with thrombospondin motifs 1
40	ADAMTS13;A disintegrin and metalloproteinase with thrombospondin motifs 13
41	ADAMTS15;A disintegrin and metalloproteinase with thrombospondin motifs 15
42	ADAMTS16;A disintegrin and metalloproteinase with thrombospondin motifs 16
43	ADAMTS4;A disintegrin and metalloproteinase with thrombospondin motifs 4
44	ADAMTS8;A disintegrin and metalloproteinase with thrombospondin motifs 8
45	ADAMTSL2;ADAMTS-like protein 2
46	ADAMTSL4;ADAMTS-like protein 4
47	ADAMTSL5;ADAMTS-like protein 5
48	ADCYAP1R1;Pituitary adenylate cyclase-activating polypeptide type I receptor
49	ADD1;Alpha-adducin
50	ADGRB3;Adhesion G protein-coupled receptor B3
51	ADGRD1;Adhesion G-protein coupled receptor D1
52	ADGRE1;Adhesion G protein-coupled receptor E1
53	ADGRE2;Adhesion G protein-coupled receptor E2
54	ADGRE5;Adhesion G protein-coupled receptor E5
55	ADGRF5;Adhesion G protein-coupled receptor F5
56	ADGRG1;Adhesion G-protein coupled receptor G1
57	ADGRG2;Adhesion G-protein coupled receptor G2
58	ADGRV1;Adhesion G-protein coupled receptor V1
59	ADH1B;All-trans-retinol dehydrogenase
60	ADH4;All-trans-retinol dehydrogenase [NAD(+)] ADH4
61	ADIPOQ;Adiponectin
62	ADM;Pro-adrenomedullin
63	ADRA2A;Alpha-2A adrenergic receptor
64	AFAP1;Actin filament-associated protein 1
65	AFM;Afamin
66	AFP;Alpha-fetoprotein
67	AGBL2;Cytosolic carboxypeptidase 2
68	AGER;Advanced glycosylation end product-specific receptor
69	AGR2;Anterior gradient protein 2 homolog
70	AGR3;Anterior gradient protein 3
71	AGRN;Agrin
72	AGRP;Agouti-related protein
73	AGT;Angiotensinogen
74	AGXT;Serine--pyruvate aminotransferase
75	AHCY;Adenosylhomocysteinase
76	AHNAK;Neuroblast differentiation-associated protein AHNAK
77	AHNAK2;Protein AHNAK2
78	AHSA1;Activator of 90 kDa heat shock protein ATPase homolog 1
79	AHSG;Alpha-2-HS-glycoprotein
80	AHSP;Alpha-hemoglobin-stabilizing protein
81	AIDA;Axin interactor, dorsalization-associated protein
82	AIF1;Allograft inflammatory factor 1
83	AIF1L;Allograft inflammatory factor 1-like
84	AIFM1;Apoptosis-inducing factor 1, mitochondrial
85	AK1;Adenylate kinase isoenzyme 1
86	AK2;Adenylate kinase 2, mitochondrial
87	AKAP12;A-kinase anchor protein 12
88	AKR1B1;Aldo-keto reductase family 1 member B1
89	AKR1B10;Aldo-keto reductase family 1 member B10
90	AKR1C4;Aldo-keto reductase family 1 member C4
91	AKR7L;Aflatoxin B1 aldehyde reductase member 4
92	AKT1S1;Proline-rich AKT1 substrate 1
93	AKT2;RAC-beta serine/threonine-protein kinase
94	AKT3;RAC-gamma serine/threonine-protein kinase
95	ALCAM;CD166 antigen
96	ALDH1A1;Retinal dehydrogenase 1
97	ALDH2;Aldehyde dehydrogenase, mitochondrial
98	ALDH3A1;Aldehyde dehydrogenase, dimeric NADP-preferring
99	ALDH5A1;Succinate-semialdehyde dehydrogenase, mitochondrial
100	ALMS1;Alstrom syndrome protein 1
101	ALPI;Intestinal-type alkaline phosphatase
102	ALPP;Alkaline phosphatase, placental type
103	AMBN;Ameloblastin
104	AMBP;Protein AMBP
105	AMDHD2;N-acetylglucosamine-6-phosphate deacetylase
106	AMFR;E3 ubiquitin-protein ligase AMFR
107	AMIGO1;Amphoterin-induced protein 1
108	AMIGO2;Amphoterin-induced protein 2
109	AMN;Protein amnionless
110	AMOT;Angiomotin
111	AMOTL2;Angiomotin-like protein 2
112	AMPD3;AMP deaminase 3
113	AMY1A_AMY1B_AMY1C;Alpha-amylase 1A_Alpha-amylase 1B_Alpha-amylase 1C
114	AMY2A;Pancreatic alpha-amylase
115	AMY2B;Alpha-amylase 2B
